nome_municipio,maxima,media,mes
São José dos Campos,8.34423065185547,7.70559053137751,Jan
São José dos Campos,6.66250514984131,6.30200667900614,Fev
São José dos Campos,5.54566097259521,5.01146171588709,Mar
São José dos Campos,2.53634905815125,2.33211795882423,Abr
São José dos Campos,1.97453236579895,1.75117609760549,Mai
São José dos Campos,1.712366938591,1.47309002899888,Jun
São José dos Campos,1.80043399333954,1.65527176148821,Jul
São José dos Campos,1.09134984016418,0.931052248076637,Ago
São José dos Campos,2.15568685531616,1.86510019137128,Set
São José dos Campos,4.27079010009766,3.6566099931698,Out
São José dos Campos,5.99231338500977,5.2705448216731,Nov
São José dos Campos,7.02446174621582,5.97240915865001,Dez
